Date	Reproduction_Rate
1/30/2020	NULL
1/31/2020	NULL
2/1/2020	NULL
2/2/2020	NULL
2/3/2020	NULL
2/4/2020	NULL
2/5/2020	NULL
2/6/2020	NULL
2/7/2020	NULL
2/8/2020	NULL
2/9/2020	NULL
2/10/2020	NULL
2/11/2020	NULL
2/12/2020	NULL
2/13/2020	NULL
2/14/2020	NULL
2/15/2020	NULL
2/16/2020	NULL
2/17/2020	NULL
2/18/2020	NULL
2/19/2020	NULL
2/20/2020	NULL
2/21/2020	NULL
2/22/2020	NULL
2/23/2020	NULL
2/24/2020	NULL
2/25/2020	NULL
2/26/2020	NULL
2/27/2020	NULL
2/28/2020	NULL
2/29/2020	NULL
3/1/2020	NULL
3/2/2020	NULL
3/3/2020	NULL
3/4/2020	NULL
3/5/2020	NULL
3/6/2020	NULL
3/7/2020	NULL
3/8/2020	NULL
3/9/2020	NULL
3/10/2020	NULL
3/11/2020	NULL
3/12/2020	NULL
3/13/2020	NULL
3/14/2020	NULL
3/15/2020	1.81
3/16/2020	1.82
3/17/2020	1.88
3/18/2020	1.93
3/19/2020	2.01
3/20/2020	2.08
3/21/2020	2.12
3/22/2020	2.13
3/23/2020	2.11
3/24/2020	2.09
3/25/2020	2.09
3/26/2020	2.09
3/27/2020	2.11
3/28/2020	2.10
3/29/2020	2.13
3/30/2020	2.19
3/31/2020	2.24
4/1/2020	2.28
4/2/2020	2.23
4/3/2020	2.16
4/4/2020	2.14
4/5/2020	2.12
4/6/2020	2.08
4/7/2020	1.99
4/8/2020	1.91
4/9/2020	1.85
4/10/2020	1.80
4/11/2020	1.75
4/12/2020	1.70
4/13/2020	1.66
4/14/2020	1.62
4/15/2020	1.57
4/16/2020	1.55
4/17/2020	1.53
4/18/2020	1.51
4/19/2020	1.50
4/20/2020	1.46
4/21/2020	1.45
4/22/2020	1.43
4/23/2020	1.41
4/24/2020	1.40
4/25/2020	1.39
4/26/2020	1.38
4/27/2020	1.38
4/28/2020	1.38
4/29/2020	1.38
4/30/2020	1.39
5/1/2020	1.41
5/2/2020	1.41
5/3/2020	1.42
5/4/2020	1.42
5/5/2020	1.41
5/6/2020	1.40
5/7/2020	1.38
5/8/2020	1.36
5/9/2020	1.35
5/10/2020	1.34
5/11/2020	1.33
5/12/2020	1.32
5/13/2020	1.31
5/14/2020	1.31
5/15/2020	1.31
5/16/2020	1.32
5/17/2020	1.32
5/18/2020	1.32
5/19/2020	1.32
5/20/2020	1.32
5/21/2020	1.31
5/22/2020	1.31
5/23/2020	1.30
5/24/2020	1.29
5/25/2020	1.28
5/26/2020	1.27
5/27/2020	1.27
5/28/2020	1.27
5/29/2020	1.26
5/30/2020	1.26
5/31/2020	1.25
6/1/2020	1.25
6/2/2020	1.25
6/3/2020	1.24
6/4/2020	1.23
6/5/2020	1.23
6/6/2020	1.22
6/7/2020	1.21
6/8/2020	1.21
6/9/2020	1.20
6/10/2020	1.20
6/11/2020	1.20
6/12/2020	1.20
6/13/2020	1.20
6/14/2020	1.20
6/15/2020	1.20
6/16/2020	1.20
6/17/2020	1.21
6/18/2020	1.22
6/19/2020	1.22
6/20/2020	1.22
6/21/2020	1.23
6/22/2020	1.23
6/23/2020	1.23
6/24/2020	1.23
6/25/2020	1.23
6/26/2020	1.23
6/27/2020	1.23
6/28/2020	1.23
6/29/2020	1.23
6/30/2020	1.22
7/1/2020	1.22
7/2/2020	1.22
7/3/2020	1.22
7/4/2020	1.22
7/5/2020	1.22
7/6/2020	1.22
7/7/2020	1.22
7/8/2020	1.22
7/9/2020	1.22
7/10/2020	1.23
7/11/2020	1.23
7/12/2020	1.23
7/13/2020	1.24
7/14/2020	1.24
7/15/2020	1.24
7/16/2020	1.24
7/17/2020	1.25
7/18/2020	1.25
7/19/2020	1.25
7/20/2020	1.25
7/21/2020	1.25
7/22/2020	1.25
7/23/2020	1.24
7/24/2020	1.24
7/25/2020	1.23
7/26/2020	1.22
7/27/2020	1.21
7/28/2020	1.20
7/29/2020	1.19
7/30/2020	1.18
7/31/2020	1.18
8/1/2020	1.17
8/2/2020	1.16
8/3/2020	1.15
8/4/2020	1.15
8/5/2020	1.14
8/6/2020	1.14
8/7/2020	1.13
8/8/2020	1.13
8/9/2020	1.12
8/10/2020	1.11
8/11/2020	1.11
8/12/2020	1.10
8/13/2020	1.10
8/14/2020	1.09
8/15/2020	1.09
8/16/2020	1.08
8/17/2020	1.08
8/18/2020	1.08
8/19/2020	1.08
8/20/2020	1.08
8/21/2020	1.08
8/22/2020	1.08
8/23/2020	1.08
8/24/2020	1.09
8/25/2020	1.09
8/26/2020	1.10
8/27/2020	1.10
8/28/2020	1.10
8/29/2020	1.10
8/30/2020	1.10
8/31/2020	1.10
9/1/2020	1.10
9/2/2020	1.10
9/3/2020	1.10
9/4/2020	1.10
9/5/2020	1.10
9/6/2020	1.10
9/7/2020	1.09
9/8/2020	1.09
9/9/2020	1.08
9/10/2020	1.08
9/11/2020	1.07
9/12/2020	1.06
9/13/2020	1.06
9/14/2020	1.05
9/15/2020	1.04
9/16/2020	1.03
9/17/2020	1.02
9/18/2020	1.01
9/19/2020	1.00
9/20/2020	1.00
9/21/2020	0.99
9/22/2020	0.98
9/23/2020	0.97
9/24/2020	0.97
9/25/2020	0.97
9/26/2020	0.96
9/27/2020	0.96
9/28/2020	0.95
9/29/2020	0.95
9/30/2020	0.94
10/1/2020	0.94
10/2/2020	0.93
10/3/2020	0.93
10/4/2020	0.93
10/5/2020	0.92
10/6/2020	0.92
10/7/2020	0.92
10/8/2020	0.91
10/9/2020	0.91
10/10/2020	0.91
10/11/2020	0.90
10/12/2020	0.90
10/13/2020	0.89
10/14/2020	0.89
10/15/2020	0.89
10/16/2020	0.88
10/17/2020	0.88
10/18/2020	0.88
10/19/2020	0.87
10/20/2020	0.87
10/21/2020	0.87
10/22/2020	0.87
10/23/2020	0.87
10/24/2020	0.87
10/25/2020	0.87
10/26/2020	0.87
10/27/2020	0.88
10/28/2020	0.89
10/29/2020	0.89
10/30/2020	0.90
10/31/2020	0.91
11/1/2020	0.91
11/2/2020	0.92
11/3/2020	0.93
11/4/2020	0.93
11/5/2020	0.93
11/6/2020	0.94
11/7/2020	0.94
11/8/2020	0.94
11/9/2020	0.94
11/10/2020	0.94
11/11/2020	0.94
11/12/2020	0.93
11/13/2020	0.93
11/14/2020	0.93
11/15/2020	0.93
11/16/2020	0.94
11/17/2020	0.95
11/18/2020	0.96
11/19/2020	0.96
11/20/2020	0.97
11/21/2020	0.97
11/22/2020	0.97
11/23/2020	0.96
11/24/2020	0.96
11/25/2020	0.95
11/26/2020	0.95
11/27/2020	0.94
11/28/2020	0.93
11/29/2020	0.92
11/30/2020	0.92
12/1/2020	0.91
12/2/2020	0.90
12/3/2020	0.90
12/4/2020	0.89
12/5/2020	0.89
12/6/2020	0.88
12/7/2020	0.88
12/8/2020	0.87
12/9/2020	0.87
12/10/2020	0.86
12/11/2020	0.86
12/12/2020	0.86
12/13/2020	0.85
12/14/2020	0.85
12/15/2020	0.85
12/16/2020	0.85
12/17/2020	0.85
12/18/2020	0.85
12/19/2020	0.85
12/20/2020	0.86
12/21/2020	0.86
12/22/2020	0.86
12/23/2020	0.86
12/24/2020	0.86
12/25/2020	0.86
12/26/2020	0.85
12/27/2020	0.86
12/28/2020	0.86
12/29/2020	0.87
12/30/2020	0.87
12/31/2020	0.87
1/1/2021	0.90
1/2/2021	0.91
1/3/2021	0.91
1/4/2021	0.91
1/5/2021	0.91
1/6/2021	0.91
1/7/2021	0.90
1/8/2021	0.90
1/9/2021	0.92
1/10/2021	0.91
1/11/2021	0.90
1/12/2021	0.90
1/13/2021	0.89
1/14/2021	0.89
1/15/2021	0.89
1/16/2021	0.88
1/17/2021	0.88
1/18/2021	0.89
1/19/2021	0.89
1/20/2021	0.89
1/21/2021	0.90
1/22/2021	0.90
1/23/2021	0.90
1/24/2021	0.90
1/25/2021	0.91
1/26/2021	0.91
1/27/2021	0.92
1/28/2021	0.92
1/29/2021	0.92
1/30/2021	0.91
1/31/2021	0.92
2/1/2021	0.92
2/2/2021	0.92
2/3/2021	0.93
2/4/2021	0.93
2/5/2021	0.94
2/6/2021	0.94
2/7/2021	0.95
2/8/2021	0.96
2/9/2021	0.96
2/10/2021	0.97
2/11/2021	0.97
2/12/2021	0.98
2/13/2021	1.00
2/14/2021	1.01
2/15/2021	1.02
2/16/2021	1.04
2/17/2021	1.05
2/18/2021	1.06
2/19/2021	1.07
2/20/2021	1.08
2/21/2021	1.09
2/22/2021	1.10
2/23/2021	1.11
2/24/2021	1.12
2/25/2021	1.13
2/26/2021	1.13
2/27/2021	1.13
2/28/2021	1.14
3/1/2021	1.14
3/2/2021	1.15
3/3/2021	1.16
3/4/2021	1.17
3/5/2021	1.18
3/6/2021	1.19
3/7/2021	1.20
3/8/2021	1.22
3/9/2021	1.24
3/10/2021	1.25
3/11/2021	1.27
3/12/2021	1.29
3/13/2021	1.31
3/14/2021	1.32
3/15/2021	1.34
3/16/2021	1.36
3/17/2021	1.38
3/18/2021	1.39
3/19/2021	1.40
3/20/2021	1.41
3/21/2021	1.41
3/22/2021	1.41
3/23/2021	1.41
3/24/2021	1.41
3/25/2021	1.41
3/26/2021	1.41
3/27/2021	1.41
3/28/2021	1.40
3/29/2021	1.40
3/30/2021	1.40
3/31/2021	1.41
4/1/2021	1.42
4/2/2021	1.43
4/3/2021	1.44
4/4/2021	1.45
4/5/2021	1.46
4/6/2021	1.46
4/7/2021	1.46
4/8/2021	1.46
4/9/2021	1.47
4/10/2021	1.47
4/11/2021	1.47
4/12/2021	1.47
4/13/2021	1.46
4/14/2021	1.46
4/15/2021	1.45
4/16/2021	1.45
4/17/2021	1.44
4/18/2021	1.43
4/19/2021	1.41
4/20/2021	1.40
4/21/2021	1.38
4/22/2021	1.36
4/23/2021	1.34
4/24/2021	1.32
4/25/2021	1.30
4/26/2021	1.28
4/27/2021	1.26
4/28/2021	1.24
4/29/2021	1.22
4/30/2021	1.20
5/1/2021	1.18
5/2/2021	1.16
5/3/2021	1.14
5/4/2021	1.12
5/5/2021	1.10
5/6/2021	1.08
5/7/2021	1.06
5/8/2021	1.04
5/9/2021	1.02
5/10/2021	1.00
5/11/2021	0.98
5/12/2021	0.96
5/13/2021	0.94
5/14/2021	0.92
5/15/2021	0.90
5/16/2021	0.88
5/17/2021	0.87
5/18/2021	0.86
5/19/2021	0.84
5/20/2021	0.83
5/21/2021	0.82
5/22/2021	0.80
5/23/2021	0.79
5/24/2021	0.78
5/25/2021	0.77
5/26/2021	0.76
5/27/2021	0.75
5/28/2021	0.74
5/29/2021	0.73
5/30/2021	0.72
5/31/2021	0.71
6/1/2021	0.70
6/2/2021	0.70
6/3/2021	0.69
6/4/2021	0.69
6/5/2021	0.69
6/6/2021	0.68
6/7/2021	0.68
6/8/2021	0.68
6/9/2021	0.68
6/10/2021	0.68
6/11/2021	0.68
6/12/2021	0.68
6/13/2021	0.68
6/14/2021	0.68
6/15/2021	0.68
6/16/2021	0.69
6/17/2021	0.69
6/18/2021	0.70
6/19/2021	0.70
6/20/2021	0.71
6/21/2021	0.72
6/22/2021	0.73
6/23/2021	0.74
6/24/2021	0.74
6/25/2021	0.75
6/26/2021	0.76
6/27/2021	0.77
6/28/2021	0.78
6/29/2021	0.79
6/30/2021	0.80
7/1/2021	0.80
7/2/2021	0.81
7/3/2021	0.82
7/4/2021	0.82
7/5/2021	0.83
7/6/2021	0.83
7/7/2021	0.83
7/8/2021	NULL
7/9/2021	NULL
