LOCATION	DATE	VACCINATION						
India	30-01-2020	NULL						
India	31-01-2020	NULL						
India	01-02-2020	NULL						
India	02-02-2020	NULL						
India	03-02-2020	NULL						
India	04-02-2020	NULL						
India	05-02-2020	NULL						
India	06-02-2020	NULL						
India	07-02-2020	NULL						
India	08-02-2020	NULL						
India	09-02-2020	NULL						
India	10-02-2020	NULL						
India	11-02-2020	NULL						
India	12-02-2020	NULL						
India	13-02-2020	NULL						
India	14-02-2020	NULL						
India	15-02-2020	NULL						
India	16-02-2020	NULL						
India	17-02-2020	NULL						
India	18-02-2020	NULL						
India	19-02-2020	NULL						
India	20-02-2020	NULL						
India	21-02-2020	NULL						
India	22-02-2020	NULL						
India	23-02-2020	NULL						
India	24-02-2020	NULL						
India	25-02-2020	NULL						
India	26-02-2020	NULL						
India	27-02-2020	NULL						
India	28-02-2020	NULL						
India	29-02-2020	NULL						
India	01-03-2020	NULL						
India	02-03-2020	NULL						
India	03-03-2020	NULL						
India	04-03-2020	NULL						
India	05-03-2020	NULL						
India	06-03-2020	NULL						
India	07-03-2020	NULL						
India	08-03-2020	NULL						
India	09-03-2020	NULL						
India	10-03-2020	NULL						
India	11-03-2020	NULL						
India	12-03-2020	NULL						
India	13-03-2020	NULL						
India	14-03-2020	NULL						
India	15-03-2020	NULL						
India	16-03-2020	NULL						
India	17-03-2020	NULL						
India	18-03-2020	NULL						
India	19-03-2020	NULL						
India	20-03-2020	NULL						
India	21-03-2020	NULL						
India	22-03-2020	NULL						
India	23-03-2020	NULL						
India	24-03-2020	NULL						
India	25-03-2020	NULL						
India	26-03-2020	NULL						
India	27-03-2020	NULL						
India	28-03-2020	NULL						
India	29-03-2020	NULL						
India	30-03-2020	NULL						
India	31-03-2020	NULL						
India	01-04-2020	NULL						
India	02-04-2020	NULL						
India	03-04-2020	NULL						
India	04-04-2020	NULL						
India	05-04-2020	NULL						
India	06-04-2020	NULL						
India	07-04-2020	NULL						
India	08-04-2020	NULL						
India	09-04-2020	NULL						
India	10-04-2020	NULL						
India	11-04-2020	NULL						
India	12-04-2020	NULL						
India	13-04-2020	NULL						
India	14-04-2020	NULL						
India	15-04-2020	NULL						
India	16-04-2020	NULL						
India	17-04-2020	NULL						
India	18-04-2020	NULL						
India	19-04-2020	NULL						
India	20-04-2020	NULL						
India	21-04-2020	NULL						
India	22-04-2020	NULL						
India	23-04-2020	NULL						
India	24-04-2020	NULL						
India	25-04-2020	NULL						
India	26-04-2020	NULL						
India	27-04-2020	NULL						
India	28-04-2020	NULL						
India	29-04-2020	NULL						
India	30-04-2020	NULL						
India	01-05-2020	NULL						
India	02-05-2020	NULL						
India	03-05-2020	NULL						
India	04-05-2020	NULL						
India	05-05-2020	NULL						
India	06-05-2020	NULL						
India	07-05-2020	NULL						
India	08-05-2020	NULL						
India	09-05-2020	NULL						
India	10-05-2020	NULL						
India	11-05-2020	NULL						
India	12-05-2020	NULL						
India	13-05-2020	NULL						
India	14-05-2020	NULL						
India	15-05-2020	NULL						
India	16-05-2020	NULL						
India	17-05-2020	NULL						
India	18-05-2020	NULL						
India	19-05-2020	NULL						
India	20-05-2020	NULL						
India	21-05-2020	NULL						
India	22-05-2020	NULL						
India	23-05-2020	NULL						
India	24-05-2020	NULL						
India	25-05-2020	NULL						
India	26-05-2020	NULL						
India	27-05-2020	NULL						
India	28-05-2020	NULL						
India	29-05-2020	NULL						
India	30-05-2020	NULL						
India	31-05-2020	NULL						
India	01-06-2020	NULL						
India	02-06-2020	NULL						
India	03-06-2020	NULL						
India	04-06-2020	NULL						
India	05-06-2020	NULL						
India	06-06-2020	NULL						
India	07-06-2020	NULL						
India	08-06-2020	NULL						
India	09-06-2020	NULL						
India	10-06-2020	NULL						
India	11-06-2020	NULL						
India	12-06-2020	NULL						
India	13-06-2020	NULL						
India	14-06-2020	NULL						
India	15-06-2020	NULL						
India	16-06-2020	NULL						
India	17-06-2020	NULL						
India	18-06-2020	NULL						
India	19-06-2020	NULL						
India	20-06-2020	NULL						
India	21-06-2020	NULL						
India	22-06-2020	NULL						
India	23-06-2020	NULL						
India	24-06-2020	NULL						
India	25-06-2020	NULL						
India	26-06-2020	NULL						
India	27-06-2020	NULL						
India	28-06-2020	NULL						
India	29-06-2020	NULL						
India	30-06-2020	NULL						
India	01-07-2020	NULL						
India	02-07-2020	NULL						
India	03-07-2020	NULL						
India	04-07-2020	NULL						
India	05-07-2020	NULL						
India	06-07-2020	NULL						
India	07-07-2020	NULL						
India	08-07-2020	NULL						
India	09-07-2020	NULL						
India	10-07-2020	NULL						
India	11-07-2020	NULL						
India	12-07-2020	NULL						
India	13-07-2020	NULL						
India	14-07-2020	NULL						
India	15-07-2020	NULL						
India	16-07-2020	NULL						
India	17-07-2020	NULL						
India	18-07-2020	NULL						
India	19-07-2020	NULL						
India	20-07-2020	NULL						
India	21-07-2020	NULL						
India	22-07-2020	NULL						
India	23-07-2020	NULL						
India	24-07-2020	NULL						
India	25-07-2020	NULL						
India	26-07-2020	NULL						
India	27-07-2020	NULL						
India	28-07-2020	NULL						
India	29-07-2020	NULL						
India	30-07-2020	NULL						
India	31-07-2020	NULL						
India	01-08-2020	NULL						
India	02-08-2020	NULL						
India	03-08-2020	NULL						
India	04-08-2020	NULL						
India	05-08-2020	NULL						
India	06-08-2020	NULL						
India	07-08-2020	NULL						
India	08-08-2020	NULL						
India	09-08-2020	NULL						
India	10-08-2020	NULL						
India	11-08-2020	NULL						
India	12-08-2020	NULL						
India	13-08-2020	NULL						
India	14-08-2020	NULL						
India	15-08-2020	NULL						
India	16-08-2020	NULL						
India	17-08-2020	NULL						
India	18-08-2020	NULL						
India	19-08-2020	NULL						
India	20-08-2020	NULL						
India	21-08-2020	NULL						
India	22-08-2020	NULL						
India	23-08-2020	NULL						
India	24-08-2020	NULL						
India	25-08-2020	NULL						
India	26-08-2020	NULL						
India	27-08-2020	NULL						
India	28-08-2020	NULL						
India	29-08-2020	NULL						
India	30-08-2020	NULL						
India	31-08-2020	NULL						
India	01-09-2020	NULL						
India	02-09-2020	NULL						
India	03-09-2020	NULL						
India	04-09-2020	NULL						
India	05-09-2020	NULL						
India	06-09-2020	NULL						
India	07-09-2020	NULL						
India	08-09-2020	NULL						
India	09-09-2020	NULL						
India	10-09-2020	NULL						
India	11-09-2020	NULL						
India	12-09-2020	NULL						
India	13-09-2020	NULL						
India	14-09-2020	NULL						
India	15-09-2020	NULL						
India	16-09-2020	NULL						
India	17-09-2020	NULL						
India	18-09-2020	NULL						
India	19-09-2020	NULL						
India	20-09-2020	NULL						
India	21-09-2020	NULL						
India	22-09-2020	NULL						
India	23-09-2020	NULL						
India	24-09-2020	NULL						
India	25-09-2020	NULL						
India	26-09-2020	NULL						
India	27-09-2020	NULL						
India	28-09-2020	NULL						
India	29-09-2020	NULL						
India	30-09-2020	NULL						
India	01-10-2020	NULL						
India	02-10-2020	NULL						
India	03-10-2020	NULL						
India	04-10-2020	NULL						
India	05-10-2020	NULL						
India	06-10-2020	NULL						
India	07-10-2020	NULL						
India	08-10-2020	NULL						
India	09-10-2020	NULL						
India	10-10-2020	NULL						
India	11-10-2020	NULL						
India	12-10-2020	NULL						
India	13-10-2020	NULL						
India	14-10-2020	NULL						
India	15-10-2020	NULL						
India	16-10-2020	NULL						
India	17-10-2020	NULL						
India	18-10-2020	NULL						
India	19-10-2020	NULL						
India	20-10-2020	NULL						
India	21-10-2020	NULL						
India	22-10-2020	NULL						
India	23-10-2020	NULL						
India	24-10-2020	NULL						
India	25-10-2020	NULL						
India	26-10-2020	NULL						
India	27-10-2020	NULL						
India	28-10-2020	NULL						
India	29-10-2020	NULL						
India	30-10-2020	NULL						
India	31-10-2020	NULL						
India	01-11-2020	NULL						
India	02-11-2020	NULL						
India	03-11-2020	NULL						
India	04-11-2020	NULL						
India	05-11-2020	NULL						
India	06-11-2020	NULL						
India	07-11-2020	NULL						
India	08-11-2020	NULL						
India	09-11-2020	NULL						
India	10-11-2020	NULL						
India	11-11-2020	NULL						
India	12-11-2020	NULL						
India	13-11-2020	NULL						
India	14-11-2020	NULL						
India	15-11-2020	NULL						
India	16-11-2020	NULL						
India	17-11-2020	NULL						
India	18-11-2020	NULL						
India	19-11-2020	NULL						
India	20-11-2020	NULL						
India	21-11-2020	NULL						
India	22-11-2020	NULL						
India	23-11-2020	NULL						
India	24-11-2020	NULL						
India	25-11-2020	NULL						
India	26-11-2020	NULL						
India	27-11-2020	NULL						
India	28-11-2020	NULL						
India	29-11-2020	NULL						
India	30-11-2020	NULL						
India	01-12-2020	NULL						
India	02-12-2020	NULL						
India	03-12-2020	NULL						
India	04-12-2020	NULL						
India	05-12-2020	NULL						
India	06-12-2020	NULL						
India	07-12-2020	NULL						
India	08-12-2020	NULL						
India	09-12-2020	NULL						
India	10-12-2020	NULL						
India	11-12-2020	NULL						
India	12-12-2020	NULL						
India	13-12-2020	NULL						
India	14-12-2020	NULL						
India	15-12-2020	NULL						
India	16-12-2020	NULL						
India	17-12-2020	NULL						
India	18-12-2020	NULL						
India	19-12-2020	NULL						
India	20-12-2020	NULL						
India	21-12-2020	NULL						
India	22-12-2020	NULL						
India	23-12-2020	NULL						
India	24-12-2020	NULL						
India	25-12-2020	NULL						
India	26-12-2020	NULL						
India	27-12-2020	NULL						
India	28-12-2020	NULL						
India	29-12-2020	NULL						
India	30-12-2020	NULL						
India	31-12-2020	NULL						
India	01-01-2021	NULL						
India	02-01-2021	NULL						
India	03-01-2021	NULL						
India	04-01-2021	NULL						
India	05-01-2021	NULL						
India	06-01-2021	NULL						
India	07-01-2021	NULL						
India	08-01-2021	NULL						
India	09-01-2021	NULL						
India	10-01-2021	NULL						
India	11-01-2021	NULL						
India	12-01-2021	NULL						
India	13-01-2021	NULL						
India	14-01-2021	NULL						
India	15-01-2021	0						
India	16-01-2021	191181		"28,323,206"	JAN			
India	17-01-2021	224301		"237,762,147"	FEB			
India	18-01-2021	454049		"1,166,006,861"	MARCH			
India	19-01-2021	674835		"3,038,130,111"	APRIL			
India	20-01-2021	806484		"5,432,545,301"	MAY			
India	21-01-2021	1043534		"7,600,897,268"	JUNE			
India	22-01-2021	1390592						"28,323,206"
India	23-01-2021	1582201						"237,762,147"
India	24-01-2021	1615504						"1,166,006,861"
India	25-01-2021	2023809						"3,038,130,111"
India	26-01-2021	2029480		213135738				"5,432,545,301"
India	27-01-2021	2355979		215678166				"7,600,897,268"
India	28-01-2021	2928053		218344384				
India	29-01-2021	3500027		223607768				
India	30-01-2021	3744334		225571144				
India	31-01-2021	3758843		228041045				
India	01-02-2021	3950156		230490652				
India	02-02-2021	4138918		233680929				
India	03-02-2021	4449552		236856505				
India	04-02-2021	4959445		240281903				
India	05-02-2021	5416849		243703242				
India	06-02-2021	5775322		246188067				
India	07-02-2021	5812362		249430416				
India	08-02-2021	6259008		252760364				
India	09-02-2021	6611561		255305366				
India	10-02-2021	7017114		258325900				
India	11-02-2021	7505010		262970250				
India	12-02-2021	7967647		266355940				
India	13-02-2021	8052454		270908312				
India	14-02-2021	NULL		274286599				
India	15-02-2021	8516771		283313942				
India	16-02-2021	8857341		289855456				
India	17-02-2021	9186757		293370338				
India	18-02-2021	9846523		300054027				
India	19-02-2021	10449942		306661528				
India	20-02-2021	10838323		314841384				
India	21-02-2021	11085173		318030412				
India	22-02-2021	11424094		321423578				
India	23-02-2021	11907392		327423913				
India	24-02-2021	12366633						
India	25-02-2021	13067047						
India	26-02-2021	13756940						
India	27-02-2021	14242547						
India	28-02-2021	14301266						
India	01-03-2021	14854136						
India	02-03-2021	15620749						
India	03-03-2021	16616048						
India	04-03-2021	18005503						
India	05-03-2021	19497704						
India	06-03-2021	20922344						
India	07-03-2021	20989010						
India	08-03-2021	23008733						
India	09-03-2021	24367906						
India	10-03-2021	25685011						
India	11-03-2021	26164920						
India	12-03-2021	28218457						
India	13-03-2021	29738409						
India	14-03-2021	29908038						
India	15-03-2021	32947432						
India	16-03-2021	35064536						
India	17-03-2021	37143255						
India	18-03-2021	39339817						
India	19-03-2021	42063392						
India	20-03-2021	44603841						
India	21-03-2021	45065998						
India	22-03-2021	48494594						
India	23-03-2021	50841286						
India	24-03-2021	53145709						
India	25-03-2021	55504440						
India	26-03-2021	58109773						
India	27-03-2021	60269782						
India	28-03-2021	60530435						
India	29-03-2021	61113354						
India	30-03-2021	63054353						
India	31-03-2021	65117896						
India	01-04-2021	68789138						
India	02-04-2021	73054295						
India	03-04-2021	75979651						
India	04-04-2021	79105163						
India	05-04-2021	83110926						
India	06-04-2021	87077474						
India	07-04-2021	90198673						
India	08-04-2021	94334262						
India	09-04-2021	98075160						
India	10-04-2021	101595147						
India	11-04-2021	104528565						
India	12-04-2021	108533085						
India	13-04-2021	111179578						
India	14-04-2021	114493238						
India	15-04-2021	117223509						
India	16-04-2021	119937641						
India	17-04-2021	122622590						
India	18-04-2021	123852566						
India	19-04-2021	127129113						
India	20-04-2021	NULL						
India	21-04-2021	129646105						
India	22-04-2021	132754608						
India	23-04-2021	NULL						
India	24-04-2021	NULL						
India	25-04-2021	139185173						
India	26-04-2021	142524947						
India	27-04-2021	144879233						
India	28-04-2021	147053392						
India	29-04-2021	149268772						
India	30-04-2021	151998107						
India	01-05-2021	153626325						
India	02-05-2021	154211511						
India	03-05-2021	156082136						
India	04-05-2021	157750752						
India	05-05-2021	159931238						
India	06-05-2021	162603603						
India	07-05-2021	165190000						
India	08-05-2021	167493857						
India	09-05-2021	168304868						
India	10-05-2021	171098918						
India	11-05-2021	173862643						
India	12-05-2021	176045577						
India	13-05-2021	178361846						
India	14-05-2021	179646413						
India	15-05-2021	181544536						
India	16-05-2021	182251006						
India	17-05-2021	183817204						
India	18-05-2021	185191602						
India	19-05-2021	186410600						
India	20-05-2021	187886885						
India	21-05-2021	NULL						
India	22-05-2021	190842497						
India	23-05-2021	191719240						
India	24-05-2021	194165711						
India	25-05-2021	195506779						
India	26-05-2021	198425615						
India	27-05-2021	201203166						
India	28-05-2021	203166802						
India	29-05-2021	207088953						
India	30-05-2021	208665123						
India	31-05-2021	210449895						
India	01-06-2021	213135738						
India	02-06-2021	215678166						
India	03-06-2021	218344384						
India	04-06-2021	223607768						
India	05-06-2021	225571144						
India	06-06-2021	228041045						
India	07-06-2021	230490652						
India	08-06-2021	233680929						
India	09-06-2021	236856505						
India	10-06-2021	240281903						
India	11-06-2021	243703242						
India	12-06-2021	246188067						
India	13-06-2021	249430416						
India	14-06-2021	252760364						
India	15-06-2021	255305366						
India	16-06-2021	258325900						
India	17-06-2021	262970250						
India	18-06-2021	266355940						
India	19-06-2021	270908312						
India	20-06-2021	274286599						
India	21-06-2021	283313942						
India	22-06-2021	289855456						
India	23-06-2021	293370338						
India	24-06-2021	300054027						
India	25-06-2021	306661528						
India	26-06-2021	314841384						
India	27-06-2021	318030412						
India	28-06-2021	321423578						
India	29-06-2021	327423913						
India	30-06-2021	329158139						
India	01-07-2021	334741649						
India	02-07-2021	335671794						
India	03-07-2021	344300590						
India	04-07-2021	347378550						
India	05-07-2021	351229497						
India	06-07-2021	354307646						
India	07-07-2021	358070763						
India	08-07-2021	368991222						
India	09-07-2021	NULL						
